z,zrel,T
-1.1,0.999636603898249,-31.7
-11.1,0.9963330029732408,-31.704
-21.1,0.9930294020482325,-31.708
-31.1,0.9897258011232243,-31.714
-41.1,0.986422200198216,-31.719
-51.1,0.9831185992732078,-31.725
-61.1,0.9798149983481995,-31.731
-71.1,0.9765113974231913,-31.734
-81.1,0.973207796498183,-31.74
-91.1,0.9699041955731748,-31.745
-101.1,0.9666005946481665,-31.748
-111.1,0.9632969937231582,-31.755
-121.1,0.95999339279815,-31.766
-131.1,0.9566897918731417,-31.768
-141.1,0.9533861909481335,-31.769
-151.1,0.9500825900231252,-31.766
-161.1,0.946778989098117,-31.76
-171.1,0.9434753881731087,-31.751
-181.1,0.9401717872481005,-31.739
-191.1,0.9368681863230922,-31.727
-201.1,0.933564585398084,-31.711
-211.1,0.9302609844730757,-31.693
-221.1,0.9269573835480673,-31.673
-231.1,0.9236537826230591,-31.662
-241.1,0.9203501816980508,-31.637
-251.1,0.9170465807730426,-31.619
-261.1,0.9137429798480343,-31.6
-271.1,0.9104393789230261,-31.581
-281.1,0.9071357779980178,-31.567
-291.1,0.9038321770730096,-31.55
-301.1,0.9005285761480013,-31.529
-311.1,0.897224975222993,-31.512
-321.1,0.8939213742979848,-31.498
-331.1,0.8906177733729765,-31.483
-341.1,0.8873141724479683,-31.469
-351.1,0.88401057152296,-31.455
-361.1,0.8807069705979518,-31.442
-371.1,0.8774033696729435,-31.431
-381.1,0.8740997687479353,-31.417
-391.1,0.870796167822927,-31.406
-401.1,0.8674925668979188,-31.395
-411.1,0.8641889659729105,-31.385
-421.1,0.8608853650479023,-31.375
-431.1,0.857581764122894,-31.367
-441.1,0.8542781631978857,-31.359
-451.1,0.8509745622728775,-31.355
-461.1,0.8476709613478692,-31.345
-471.1,0.844367360422861,-31.337
-481.1,0.8410637594978526,-31.335
-491.1,0.8377601585728444,-31.329
-501.1,0.8344565576478361,-31.324
-511.1,0.8311529567228279,-31.317
-521.1,0.8278493557978196,-31.317
-531.1,0.8245457548728113,-31.316
-541.1,0.8212421539478031,-31.313
-551.1,0.8179385530227948,-31.31
-561.1,0.8146349520977866,-31.31
-571.1,0.8113313511727783,-31.31
-581.1,0.8080277502477701,-31.309
-591.1,0.8047241493227618,-31.313
