z,zrel,A,log10A
-175.81,0.9430113452188007,6.7871990227882,0.8316905843073361
-203.31,0.9340972447325769,6.41406444386527,0.8071333190901577
-257.95,0.916385737439222,8.896805523772327,0.9492340973822875
-285.45,0.9074716369529984,7.280714345711759,0.8621739921126117
-312.95,0.8985575364667747,10.2942844121248,1.0125961628368314
-365.29,0.8815915721231766,7.14249626554307,0.8538500219838023
-420.56,0.8636758508914101,10.081468945955,1.003523816697084
-475.2,0.8459643435980551,9.281892220422527,0.9676365211668809
-529.28,0.8284343598055106,9.02416999840364,0.9554072680081972
-585.84,0.8101004862236629,11.811484717862399,1.0723044923846203
-639.74,0.7926288492706646,10.281593189014098,1.0120604161754843
-694.83,0.7747714748784441,10.3716175390181,1.015846493465952
-750.84,0.7566158833063209,10.269464704951698,1.0115478066211876
-806.19,0.7386742301458671,8.47422310247093,0.9280998935682707
-861.63,0.7207034035656402,12.9602811469914,1.1126144227739725
-924.01,0.700482982171799,9.73491422365218,0.9883321292141753
-970.96,0.6852641815235008,7.9258258166908595,0.8990445237537568
-1036.535,0.6640081037277148,10.1134199742706,1.0048980423163938
-1082.45,0.6491247974068071,8.61937793766233,0.9354759238306172
-1146.38,0.6284019448946515,8.98423483752066,0.9534810953578562
-1193.01,0.6132868719611021,9.035546621512617,0.9559544311111915
-1244.66,0.596544570502431,7.4477961091370695,0.8720277788904822
-1301.57,0.578097244732577,13.843361810356498,1.1412415697734062
-1308.45,0.5758670988654782,8.41380663016949,0.9249925266475361
-1319.45,0.5723014586709887,10.108063517119,1.0046679622791017
-1328.25,0.5694489465153971,9.54456419365385,0.9797561032260442
-1335.95,0.5669529983792545,9.55165284609524,0.9800785296809198
-1341.45,0.5651701782820098,8.460389612068978,0.9273903633316349
-1352.45,0.5616045380875203,10.4060091970149,1.0172842053973286
-1358.04,0.5597925445705024,11.2586047733246,1.0514845737488798
-1363.9,0.5578930307941653,7.11724433136794,0.852311875190906
-1374.45,0.5544732576985414,9.718511453882359,0.9875997508449111
-1385.45,0.5509076175040519,9.22774922732559,0.9650957836526375
-1396.45,0.5473419773095625,8.25956896683417,0.9169573838567222
-1405.25,0.5444894651539709,8.71308575518518,0.9401719884310039
-1410.75,0.5427066450567262,8.76066180404218,0.9425369151848828
-1415.15,0.5412803889789303,8.37687060502694,0.9230818070794052
-1422.3,0.5389627228525122,10.6529342714286,1.0274692474339386
-1429.45,0.536645056726094,9.73283591689861,0.9882394017904422
-1434.4,0.5350405186385737,9.13044338598483,0.9604918679407619
-1440.45,0.5330794165316045,8.77989353327466,0.9434892495972569
-1451.45,0.529513776337115,7.332333712296289,0.8652422225355045
-1455.85,0.5280875202593194,9.3746496049904,0.9719550441370338
-1458.05,0.5273743922204215,9.666629982364348,0.9852750950599524
-1460.8,0.5264829821717991,9.31734968439849,0.9692923950654948
-1466.3,0.5247001620745544,8.74413838312611,0.941717022060642
-1469.6,0.5236304700162075,6.49005498864568,0.812248376486689
-1480.05,0.5202431118314425,8.7125220681898,0.9401438911440478
