z,zrel,T
78.89,0.9744278768233388,-31.443
80.81,0.973805510534846,-31.453
82.73,0.9731831442463533,-31.472
84.65,0.9725607779578607,-31.54
86.57,0.9719384116693679,-31.588
88.49,0.9713160453808752,-31.588
88.73,0.9712382495948136,-31.598
91.84,0.9702301458670989,-31.608
93.76,0.9696077795786061,-31.617
95.69,0.9689821717990276,-31.617
97.6,0.9683630470016208,-31.617
99.53,0.9677374392220421,-31.627
100.06,0.9675656401944894,-31.627
103.11,0.9665769854132901,-31.627
105.67,0.9657471636952999,-31.627
107.59,0.9651247974068071,-31.627
109.51,0.9645024311183145,-31.637
111.43,0.9638800648298217,-31.647
113.35,0.963257698541329,-31.647
115.28,0.9626320907617504,-31.647
117.2,0.9620097244732577,-31.647
119.12,0.961387358184765,-31.656
121.04,0.9607649918962723,-31.656
122.96,0.9601426256077796,-31.656
124.88,0.9595202593192869,-31.656
125.19,0.959419773095624,-31.656
127.89,0.9585445705024311,-31.666
129.81,0.9579222042139384,-31.666
131.74,0.9572965964343598,-31.666
133.66,0.956674230145867,-31.666
135.58,0.9560518638573744,-31.666
137.5,0.9554294975688817,-31.666
139.42,0.954807131280389,-31.666
141.34,0.9541847649918963,-31.676
143.26,0.9535623987034035,-31.666
145.19,0.952936790923825,-31.676
147.11,0.9523144246353322,-31.676
149.03,0.9516920583468396,-31.676
150.0,0.9513776337115073,-31.676
152.01,0.9507260940032415,-31.666
153.93,0.9501037277147488,-31.676
155.86,0.9494781199351702,-31.666
157.78,0.9488557536466775,-31.676
159.7,0.9482333873581847,-31.676
161.62,0.9476110210696921,-31.666
163.54,0.9469886547811993,-31.676
165.46,0.9463662884927067,-31.666
167.39,0.945740680713128,-31.666
169.3,0.9451215559157212,-31.666
171.23,0.9444959481361426,-31.666
173.15,0.9438735818476499,-31.666
175.07,0.9432512155591573,-31.666
175.24,0.9431961102106969,-31.666
177.96,0.9423144246353322,-31.666
179.88,0.9416920583468396,-31.666
181.8,0.9410696920583468,-31.666
183.73,0.9404440842787682,-31.666
185.65,0.9398217179902755,-31.666
187.57,0.9391993517017828,-31.666
189.48,0.938580226904376,-31.656
191.4,0.9379578606158833,-31.656
193.32,0.9373354943273906,-31.656
195.23,0.9367163695299838,-31.656
197.15,0.9360940032414911,-31.656
199.07,0.9354716369529984,-31.647
199.98,0.9351766612641815,-31.647
202.9,0.9342301458670988,-31.647
204.82,0.9336077795786062,-31.647
206.74,0.9329854132901134,-31.647
208.62,0.9323760129659644,-31.647
210.5,0.9317666126418153,-31.647
212.39,0.9311539708265802,-31.637
214.27,0.9305445705024311,-31.637
216.17,0.9299286871961102,-31.637
218.11,0.9292998379254457,-31.637
220.04,0.9286742301458671,-31.637
221.98,0.9280453808752026,-31.637
223.92,0.9274165316045381,-31.627
225.39,0.9269400324149109,-31.627
227.07,0.9263954619124798,-31.627
229.02,0.9257633711507294,-31.627
230.96,0.9251345218800648,-31.627
232.9,0.9245056726094003,-31.627
234.85,0.9238735818476499,-31.617
236.79,0.9232447325769855,-31.617
238.73,0.9226158833063209,-31.617
240.67,0.9219870340356564,-31.617
242.61,0.9213581847649919,-31.608
244.55,0.9207293354943273,-31.608
246.49,0.9201004862236629,-31.608
248.44,0.9194683954619125,-31.608
250.24,0.9188849270664505,-31.608
252.49,0.9181555915721231,-31.608
254.43,0.9175267423014587,-31.598
257.02,0.9166871961102107,-31.598
259.61,0.9158476499189627,-31.598
261.56,0.9152155591572123,-31.588
263.5,0.9145867098865478,-31.588
265.44,0.9139578606158834,-31.588
268.67,0.9129108589951378,-31.588
270.62,0.9122787682333874,-31.588
272.56,0.9116499189627228,-31.579
274.5,0.9110210696920583,-31.579
274.86,0.9109043760129659,-31.579
277.73,0.9099740680713128,-31.579
279.67,0.9093452188006483,-31.569
281.61,0.9087163695299838,-31.569
283.55,0.9080875202593193,-31.569
285.5,0.9074554294975689,-31.569
287.44,0.9068265802269044,-31.569
289.38,0.9061977309562399,-31.569
291.32,0.9055688816855754,-31.569
293.26,0.9049400324149108,-31.569
295.2,0.9043111831442463,-31.559
297.15,0.903679092382496,-31.559
299.09,0.9030502431118315,-31.559
299.77,0.9028298217179903,-31.559
302.15,0.9020583468395462,-31.559
304.09,0.9014294975688817,-31.55
306.04,0.9007974068071313,-31.55
307.97,0.9001717990275526,-31.55
309.92,0.8995397082658023,-31.55
311.86,0.8989108589951378,-31.55
313.8,0.8982820097244733,-31.55
315.74,0.8976531604538087,-31.54
317.68,0.8970243111831442,-31.54
319.62,0.8963954619124798,-31.54
321.57,0.8957633711507293,-31.54
323.51,0.8951345218800648,-31.54
324.69,0.8947520259319287,-31.54
326.62,0.89412641815235,-31.54
328.56,0.8934975688816855,-31.53
330.5,0.8928687196110211,-31.53
332.44,0.8922398703403566,-31.53
334.39,0.8916077795786062,-31.53
336.33,0.8909789303079416,-31.53
338.27,0.8903500810372772,-31.53
340.86,0.8895105348460292,-31.53
342.8,0.8888816855753646,-31.521
344.74,0.8882528363047002,-31.521
346.68,0.8876239870340357,-31.521
348.62,0.8869951377633711,-31.53
350.01,0.8865445705024311,-31.521
351.77,0.8859740680713128,-31.521
353.71,0.8853452188006483,-31.521
355.65,0.8847163695299838,-31.521
357.59,0.8840875202593192,-31.521
359.54,0.8834554294975688,-31.511
361.48,0.8828265802269044,-31.521
363.42,0.8821977309562399,-31.521
365.36,0.8815688816855753,-31.511
367.3,0.8809400324149108,-31.511
369.24,0.8803111831442464,-31.511
371.18,0.8796823338735819,-31.511
373.12,0.8790534846029173,-31.511
374.96,0.8784570502431118,-31.511
374.97,0.8784538087520259,-31.511
378.18,0.8774132901134521,-31.511
380.12,0.8767844408427877,-31.501
382.06,0.8761555915721232,-31.511
383.99,0.8755299837925445,-31.511
385.94,0.8748978930307941,-31.511
387.88,0.8742690437601297,-31.501
389.82,0.8736401944894652,-31.501
391.76,0.8730113452188006,-31.501
393.7,0.8723824959481361,-31.501
395.64,0.8717536466774716,-31.501
397.58,0.8711247974068071,-31.501
399.52,0.8704959481361426,-31.501
400.09,0.8703111831442464,-31.501
402.59,0.8695008103727715,-31.501
405.18,0.8686612641815235,-31.501
407.76,0.8678249594813614,-31.501
409.7,0.8671961102106969,-31.501
411.64,0.8665672609400324,-31.501
413.58,0.8659384116693679,-31.501
415.52,0.8653095623987034,-31.501
417.46,0.864680713128039,-31.501
419.4,0.8640518638573744,-31.501
421.34,0.8634230145867099,-31.501
423.28,0.8627941653160454,-31.491
425.04,0.862223662884927,-31.501
425.04,0.862223662884927,-31.501
427.67,0.8613711507293355,-31.491
429.61,0.860742301458671,-31.501
431.52,0.8601231766612643,-31.501
433.47,0.8594910858995137,-31.491
435.41,0.8588622366288492,-31.491
437.34,0.8582366288492707,-31.491
439.28,0.8576077795786061,-31.491
441.21,0.8569821717990276,-31.491
443.14,0.8563565640194489,-31.501
445.72,0.8555202593192869,-31.501
447.65,0.8548946515397082,-31.491
450.12,0.8540940032414911,-31.491
451.35,0.8536952998379255,-31.491
453.29,0.8530664505672609,-31.491
455.22,0.8524408427876823,-31.491
457.15,0.8518152350081037,-31.501
459.09,0.8511863857374392,-31.491
461.02,0.8505607779578606,-31.491
462.96,0.8499319286871961,-31.491
464.89,0.8493063209076175,-31.501
466.83,0.848677471636953,-31.491
468.76,0.8480518638573744,-31.501
470.69,0.8474262560777958,-31.491
472.63,0.8467974068071313,-31.501
474.56,0.8461717990275527,-31.491
475.05,0.8460129659643436,-31.491
477.76,0.8451345218800648,-31.501
479.69,0.8445089141004862,-31.501
481.62,0.8438833063209076,-31.501
483.56,0.8432544570502432,-31.501
485.49,0.8426288492706645,-31.501
487.43,0.842,-31.501
489.36,0.8413743922204214,-31.501
491.29,0.8407487844408428,-31.501
493.23,0.8401199351701782,-31.501
495.16,0.8394943273905997,-31.501
497.1,0.8388654781199352,-31.501
499.03,0.8382398703403566,-31.501
500.09,0.8378962722852512,-31.501
502.08,0.8372512155591572,-31.501
504.02,0.8366223662884927,-31.501
505.95,0.8359967585089141,-31.501
507.89,0.8353679092382496,-31.501
509.82,0.834742301458671,-31.501
511.76,0.8341134521880065,-31.511
513.69,0.8334878444084278,-31.511
515.62,0.8328622366288493,-31.511
517.56,0.8322333873581848,-31.511
519.49,0.8316077795786061,-31.511
521.43,0.8309789303079417,-31.511
523.36,0.830353322528363,-31.511
524.99,0.8298249594813614,-31.511
524.99,0.8298249594813614,-31.511
528.12,0.8288103727714748,-31.511
530.06,0.8281815235008104,-31.511
531.99,0.8275559157212318,-31.511
534.57,0.8267196110210697,-31.521
536.5,0.8260940032414911,-31.511
538.44,0.8254651539708265,-31.521
540.37,0.824839546191248,-31.521
542.31,0.8242106969205835,-31.521
544.24,0.8235850891410048,-31.521
546.17,0.8229594813614263,-31.521
