z,zrel,A,log10A
-68,0.9580246913580247,1.4,0.146128035678238
-111,0.9314814814814815,2.78,0.4440447959180762
-151,0.9067901234567901,3.19,0.5037906830571811
-211,0.8697530864197531,4.32,0.6354837468149122
-251,0.8450617283950617,4.66,0.6683859166900001
-311,0.8080246913580247,5.92,0.7723217067229198
-351,0.7833333333333333,5.71,0.756636108245848
-401,0.7524691358024691,6.36,0.8034571156484139
-431,0.7339506172839506,6.27,0.7972675408307164
-451,0.721604938271605,5.069999999999999,0.7050079593333359
-471,0.7092592592592593,5.069999999999999,0.7050079593333359
-480,0.7037037037037037,5.92,0.7723217067229198
-500,0.691358024691358,8.32,0.9201233262907239
-518,0.6802469135802469,6.46,0.8102325179950841
-540,0.6666666666666667,7.39,0.8686444383948257
-560,0.654320987654321,4.72,0.6739419986340878
-590,0.6358024691358024,8.85,0.9469432706978254
-611,0.6228395061728396,7.179999999999999,0.8561244442423003
-638,0.6061728395061728,8.419999999999998,0.9253120914996494
-662,0.591358024691358,4.9,0.6901960800285137
-671,0.5858024691358025,8.9,0.9493900066449128
-681,0.5796296296296296,6.38,0.8048206787211624
-696,0.5703703703703704,6.76,0.829946695941636
-701,0.567283950617284,6.58,0.8182258936139555
-711,0.5611111111111111,6.81,0.8331471119127851
-721,0.5549382716049382,6.97,0.8432327780980093
-731,0.5487654320987654,8.45,0.9268567089496923
-741,0.5425925925925925,5.79,0.7626785637274363
-751,0.5364197530864198,7.84,0.8943160626844384
-791,0.5117283950617284,5.68,0.7543483357110189
-801,0.5055555555555555,7.05,0.8481891169913987
-831,0.48703703703703705,5.02,0.7007037171450193
-851,0.4746913580246913,5.28,0.7226339225338123
-861,0.46851851851851856,4.7,0.6720978579357175
-891,0.44999999999999996,5.72,0.7573960287930241
-901,0.4438271604938272,6.159999999999999,0.7895807121644254
-911,0.43765432098765433,3.7499999999999996,0.5740312677277188
-921,0.43148148148148147,5.51,0.741151598851785
-931,0.4253086419753086,6.54,0.8155777483242672
-941,0.41913580246913584,5.51,0.741151598851785
-971,0.40061728395061724,5.53,0.7427251313046983
-991,0.3882716049382716,6.66,0.8234742291703011
-1001,0.38209876543209875,8.01,0.9036325160842377
-1010,0.3765432098765432,10.34,1.0145205387579237
-1050,0.35185185185185186,12.44,1.0948203803547998
-1070,0.3395061728395061,11.249999999999998,1.0511525224473812
-1090,0.3271604938271605,11.549999999999999,1.0625819842281632
-1110,0.31481481481481477,12.799999999999999,1.1072099696478683
-1130,0.30246913580246915,13.24,1.1218879851036812
-1160,0.28395061728395066,15.379999999999999,1.1869563354654122
-1164,0.28148148148148144,16.87,1.2271150825891253
-1171,0.27716049382716046,15.189999999999998,1.1815577738627863
-1179,0.27222222222222225,12.57,1.0993352776859577
-1189,0.2660493827160494,12.45,1.095169351431755
-1208,0.254320987654321,13.769999999999998,1.1389339402569236
-1250,0.22839506172839508,15.24,1.1829849670035817
-1301,0.19691358024691363,20.939999999999998,1.3209766773428235
-1321,0.1845679012345679,24.41,1.3875677794171886
-1341,0.17222222222222228,23.67,1.3741982579290828
-1381,0.1475308641975308,24.92,1.396548037987132
-1411,0.12901234567901232,48.13,1.6824158616773586
-1421,0.12283950617283945,26.5,1.423245873936808
-1461,0.0981481481481481,9.16,0.9618954736678504
-1481,0.08580246913580247,21.529999999999998,1.3330440298234871
