z,zrel,lam1,lam2,lam3
-1208,0.254320987654321,0.96314,0.02786,0.009
-1230,0.2407407407407407,0.97921,0.01236,0.00843
-1250,0.22839506172839508,0.975,0.01782,0.00718
-1270,0.21604938271604934,0.98213,0.01182,0.00605
-1280,0.2098765432098766,0.98092,0.01192,0.00716
-1300,0.19753086419753085,0.98255,0.0097,0.00776
-1301,0.19691358024691363,0.9847,0.00879,0.00651
-1321,0.1845679012345679,0.98041,0.01145,0.00814
-1341,0.17222222222222228,0.98271,0.01092,0.00637
-1361,0.15987654320987654,0.98112,0.00958,0.00929
-1381,0.1475308641975308,0.97827,0.01363,0.00811
-1411,0.12901234567901232,0.9068,0.0737,0.01951
-1421,0.12283950617283945,0.97287,0.01623,0.01091
-1441,0.11049382716049383,0.96301,0.02269,0.0143
-1461,0.0981481481481481,0.94447,0.03803,0.0175
-1481,0.08580246913580247,0.89424,0.08351,0.02225
-1501,0.07345679012345674,0.70223,0.25918,0.03858
-1521,0.061111111111111116,0.72835,0.22859,0.04307
-1541,0.04876543209876538,0.64946,0.314,0.04654
-1561,0.03641975308641976,0.83181,0.15298,0.01521
-1581,0.024074074074074026,0.96422,0.02251,0.01326
