z,zrel,A,log10A
-488.62,0.5914548494983278,28.900000000000002,1.4608978427565478
-495.47,0.5857274247491638,48.699999999999974,1.687528961214634
-503.28,0.5791973244147157,20.59999999999999,1.3138672203691533
-511.11,0.5726505016722407,51.60000000000002,1.7126497016272115
-517.92,0.5669565217391305,80.99999999999999,1.9084850188786497
-525.65,0.5604933110367893,18.400000000000006,1.2648178230095366
-532.44,0.5548160535117057,23.09999999999999,1.3636119798921442
-535.36,0.5523745819397994,36.0,1.5563025007672873
-542.18,0.5466722408026756,36.80000000000001,1.5658478186735179
-549.95,0.5401755852842809,22.09999999999999,1.3443922736851106
-551.83,0.5386036789297659,24.19999999999998,1.3838153659804309
-553.77,0.5369816053511706,13.40000000000001,1.127104798364808
-553.88,0.5368896321070233,26.130000000000006,1.4171394097273258
-556.82,0.5344314381270903,25.53000000000001,1.4070508148042504
-561.92,0.5301672240802676,38.28,1.5829719291048059
-566.7,0.5261705685618729,26.519999999999996,1.4235735197327355
-570.48,0.523010033444816,112.12,2.0496830890882487
-575.17,0.5190886287625418,28.459999999999997,1.4542348957482656
-577.11,0.5174665551839465,31.230000000000004,1.4945719842301988
-581.94,0.5134280936454849,29.619999999999994,1.4715850541851896
-589.39,0.5071989966555184,21.189999999999998,1.3261309567107946
-593.28,0.5039464882943143,58.27999999999998,1.7655195430979524
-600.85,0.4976170568561873,24.999999999999996,1.3979400086720375
-606.51,0.49288461538461537,90.35999999999997,1.9559762222483252
-613.465,0.48706939799331106,22.179999999999993,1.3459615418131412
-618.575,0.48279682274247493,20.06,1.3023309286843994
-624.525,0.47782190635451505,101.83,2.007875743767585
-633.695,0.4701546822742475,18.03999999999999,1.2562365332059227
-641.015,0.4640342809364548,97.18000000000004,1.9875768947269876
-647.405,0.4586914715719064,28.699999999999985,1.4578818967339922
-661.635,0.44679347826086957,18.75,1.2730012720637376
-666.48,0.44274247491638796,29.749999999999996,1.4734869700645683
-671.3,0.4387123745819398,52.08,1.7166709755601355
-677.98,0.4331270903010034,106.46000000000001,2.027186461836736
-687.013,0.425574414715719,17.180000000000003,1.2350231594952237
-693.518,0.42013545150501674,31.34,1.4960989921325714
-698.903,0.4156329431438127,23.300000000000015,1.3673559210260193
-708.423,0.40767307692307697,18.2,1.2600713879850747
-715.943,0.4013854515050167,30.510000000000005,1.484442207642407
-723.483,0.3950811036789298,20.67000000000001,1.3153404766272885
-733.083,0.38705434782608694,17.009999999999998,1.230704313612569
-741.993,0.37960451505016723,80.21000000000001,1.9042285163400785
-749.553,0.37328344481605347,20.150000000000006,1.3042750504771283
-753.443,0.3700309364548495,20.45,1.3106933123433606
-759.173,0.365239966555184,32.42999999999999,1.5109469486729727
-768.853,0.35714632107023414,19.130000000000003,1.2817149700272958
-780.353,0.34753093645484956,112.06,2.0494506181315497
-788.023,0.34111789297658857,137.56000000000006,2.138492167149976
-795.573,0.3348051839464883,27.96999999999999,1.446692466371527
-803.083,0.3285259197324415,20.63,1.3144992279731516
-812.593,0.3205744147157191,28.579999999999988,1.4560622244549513
-818.083,0.31598411371237456,118.58,2.074011446008945
-825.333,0.3099222408026756,22.80999999999999,1.3581252852766483
-831.113,0.3050894648829431,92.08000000000001,1.9641653106217354
-836.863,0.3002817725752508,29.47,1.4693801358499252
-839.753,0.2978653846153846,118.56000000000003,2.073938190635253
-845.863,0.2927566889632106,42.93000000000001,1.632760888479439
-851.573,0.2879824414715719,24.979999999999997,1.3975924340381167
-859.273,0.2815443143812709,33.420000000000016,1.5240064455573727
-868.983,0.27342558528428096,226.89000000000004,2.355815355115771
-876.623,0.2670376254180602,24.38999999999999,1.3872118003137304
-882.453,0.2621630434782609,202.60000000000002,2.3066394410242617
-886.293,0.25895234113712373,30.619999999999994,1.486005186362242
-891.803,0.25434531772575253,34.40999999999998,1.5366846726209298
-896.503,0.25041555183946484,34.69999999999999,1.5403294747908736
-903.598,0.2444832775919733,172.02999999999997,2.2356041893398375
-909.288,0.23972575250836115,35.730000000000004,1.55303301620244
-917.018,0.23326254180602002,21.530000000000005,1.3330440298234874
-924.382,0.22710535117056863,20.259999999999994,1.3066394410242614
-929.982,0.22242307692307695,30.82,1.4888326343824005
-935.892,0.21748160535117056,156.97999999999993,2.1958443247472816
-939.707,0.21429180602006692,90.60000000000002,1.9571281976768131
-945.232,0.20967224080267566,33.59000000000002,1.5262100038416646
-951.032,0.20482274247491639,34.170000000000016,1.533644978798763
-956.682,0.20009866220735784,31.4,1.4969296480732148
-963.292,0.19457190635451505,19.789999999999992,1.296445794206396
-967.872,0.19074247491638796,58.10000000000003,1.7641761323903309
-974.402,0.18528260869565216,42.439999999999976,1.6277753752293027
-980.977,0.17978511705685618,38.26999999999999,1.5828584622244992
-986.517,0.17515301003344474,59.02000000000001,1.7709992051639407
-991.337,0.17112290969899668,134.46,2.128593106918705
-997.837,0.165688127090301,36.239999999999995,1.5591881890047754
-1003.35,0.16107859531772573,107.74999999999999,2.032417278832769
-1009.32,0.1560869565217391,55.64999999999997,1.745465168670727
-1014.88,0.15143812709030102,110.48999999999998,2.0433229735745755
-1021.43,0.14596153846153848,207.93999999999994,2.317938039636056
-1026.22,0.14195652173913043,57.809999999999995,1.7620029693751154
-1033.9,0.13553511705685606,123.52999999999997,2.0917724414196828
-1039.65,0.13072742474916377,107.10999999999999,2.0298300193106584
-1045.35,0.12596153846153857,38.829999999999984,1.5891673905460475
-1051.13,0.12112876254180593,123.78999999999998,2.0926855629374908
-1058.91,0.11462374581939794,258.39999999999986,2.4122925093230463
-1064.68,0.1097993311036789,130.38,2.115210976704168
-1070.52,0.10491638795986624,87.58000000000003,1.9424049408561068
-1077.94,0.09871237458193971,152.96,2.184577874932025
-1083.64,0.09394648829431429,370.23999999999995,2.5684833372716556
-1089.51,0.08903846153846151,280.31000000000006,2.447638591400498
-1095.15,0.08432274247491633,253.13000000000002,2.40334361913045
-1099.0,0.08110367892976589,329.21,2.5174730187603362
-1104.63,0.07639632107023397,264.25,2.4220149959794637
-1110.67,0.07134615384615384,328.4399999999999,2.5164560434577483
-1116.47,0.06649665551839468,257.68,2.411080711811635
-1122.39,0.061546822742474805,297.23999999999995,2.473107252633462
-1128.43,0.056496655518394556,146.45000000000002,2.1656893760176175
-1134.02,0.05182274247491636,14.160000000000002,1.1510632533537501
-1139.77,0.04701505016722407,74.87,1.874307833128039
