z,zrel,lam1,lam2,lam3
2949.1,0.09703000612369872,0.784,0.195,0.021
2950.9,0.0964788732394366,0.768,0.192,0.041
2951.3,0.09635639926515605,0.673,0.254,0.072
2952.9,0.09586650336803426,0.803,0.126,0.072
2953.5,0.09568279240661359,0.836,0.126,0.037
2955.7,0.09500918554807114,0.926,0.047,0.026
2966.7,0.09164115125535832,0.731,0.209,0.06
2977.8,0.08824249846907528,0.937,0.041,0.022
2999.7,0.08153704837721987,0.902,0.063,0.036
3011.1,0.0780465401102266,0.806,0.119,0.074
3015.5,0.07669932639314148,0.909,0.07,0.021
3022.1,0.07467850581751379,0.851,0.116,0.033
3026.5,0.07333129210042866,0.593,0.253,0.154
3033.1,0.07131047152480097,0.922,0.067,0.011
3037.5,0.06996325780771584,0.824,0.138,0.038
3043.2,0.06821800367421926,0.971,0.017,0.013
3049.6,0.0662584200857318,0.885,0.094,0.022
3054.6,0.064727495407226,0.921,0.041,0.038
3060.6,0.06289038579301898,0.722,0.245,0.033
3065.6,0.06135946111451318,0.831,0.12,0.049
3071.6,0.05952235150030616,0.881,0.103,0.016
3076.6,0.05799142682180036,0.682,0.229,0.088
3082.6,0.05615431720759345,0.577,0.35,0.072
3087.6,0.054623392529087544,0.675,0.29,0.034
3092.0,0.05327617881200242,0.549,0.389,0.061
3098.6,0.05125535823637484,0.822,0.152,0.026
3104.6,0.049418248622167815,0.869,0.111,0.02
3109.6,0.04788732394366202,0.928,0.053,0.019
3115.6,0.046050214329455,0.705,0.251,0.044
3121.1,0.04436619718309864,0.93,0.057,0.013
3127.2,0.04249846907532151,0.603,0.341,0.056
3132.7,0.040814451928965156,0.544,0.438,0.018
